Legenda:
CURRENT FRAME: numero del frame del video
Min_Length: Lunghezza minima contorno
Center: Centro del cerchio (x, y)
Radius: Raggio del cerchio



Current frame: radius, center, min_length

388: 120, (300, 60), 100
389: 140, (300, 60), 100
391: 130, (300, 60), 100
392: 130, (300, 60), 100
393: 130, (300, 60), 100
394: 120, (300, 60), 100
397: 120, (300, 60), 100
399: 120, (300, 60), 100
401: 120, (300, 60), 100
411: 130, (300, 60), 100
421: 130, (300, 60), 100
431: 140, (300, 60), 100
441: 170, (300, 60), 80
451: 180, (300, 60), 90
461: 180, (300, 60), 90 
471: 180, (300, 60), 90 
481: 180, (300, 60), 100
491: 180, (300, 60), 100
501: 190, (300, 60), 100
511: 200, (300, 60), 100
521: 210, (300, 60), 100
531: 220, (300, 60), 100
541: 260, (300, 60), 100
551: 260, (300, 60), 100
561: 260, (300, 60), 20
571: 260, (300, 100), 40
581: 240, (310, 160), 100
591: 240, (350, 240), 30
601: 240, (350, 240), 90
611: 240, (350, 240), 90
621: 240, (350, 240), 30
631: 240, (350, 240), 90
641: 240, (350, 240), 90
651: 290, (350, 240), 100
661: 290, (350, 240), 100
671: 290, (350, 240), 100
681: 290, (350, 240), 100
691: 290, (350, 240), 100
701: 290, (350, 240), 100
711: 290, (350, 240), 100
721: 290, (350, 240), 100
731: 320, (350, 270), 100
741: 340, (350, 270), 100
751: 370, (350, 270), 300
761: 370, (350, 270), 300
771: 400, (350, 300), 300
781: 400, (350, 300), 300
785: 400, (350, 300), 300
